QB,RB,RB,WR,WR,WR,TE,FLEX,D
Patrick Mahomes,Dalvin Cook,Leonard Fournette,Tyler Lockett,Calvin Ridley,Terry McLaurin,Miles Sanders,Travis Kelce,Washington Redskins
Patrick Mahomes,Dalvin Cook,Leonard Fournette,DeVante Parker,Tyreek Hill,Calvin Ridley,Miles Sanders,Greg Olsen,Pittsburgh Steelers
Patrick Mahomes,Dalvin Cook,Leonard Fournette,DeVante Parker,Tyler Lockett,Tyreek Hill,Miles Sanders,Greg Olsen,Washington Redskins
Patrick Mahomes,Leonard Fournette,Saquon Barkley,Tyreek Hill,Calvin Ridley,A.J. Brown,Miles Sanders,Travis Kelce,Washington Redskins
Patrick Mahomes,Dalvin Cook,Leonard Fournette,Alshon Jeffery,Tyreek Hill,Calvin Ridley,Miles Sanders,Greg Olsen,Washington Redskins
Patrick Mahomes,Dalvin Cook,Leonard Fournette,Tyreek Hill,Calvin Ridley,Christian Kirk,Miles Sanders,Jack Doyle,Pittsburgh Steelers
Patrick Mahomes,Le'Veon Bell,Dalvin Cook,Tyler Lockett,Calvin Ridley,Christian Kirk,Miles Sanders,Travis Kelce,Washington Redskins
Patrick Mahomes,Dalvin Cook,Leonard Fournette,Tyler Lockett,Tyreek Hill,Christian Kirk,Miles Sanders,Jack Doyle,Washington Redskins
Patrick Mahomes,Dalvin Cook,Leonard Fournette,DeVante Parker,Calvin Ridley,Christian Kirk,Miles Sanders,Travis Kelce,Pittsburgh Steelers
Patrick Mahomes,Dalvin Cook,Leonard Fournette,Mike Evans,Tyler Lockett,Calvin Ridley,Miles Sanders,Greg Olsen,Washington Redskins
